campanha,sede,tecnico,capitao,destaque,ataque_pdf,defesa_pdf,score_pdf
1958,Suecia,Vicente Feola,Bellini,"Pele (17 anos - 6 gols - 2 na final) - Garrincha - Didi - Vava - Zagallo",87.25,30.5,56.75
1970,Mexico,Mario Zagallo,Carlos Alberto,"Pele - Jairzinho (gol em todos os jogos) - Tostao - Rivelino - Gerson",79.75,26.25,53.5
2002,Coreia/Japao,Luiz Felipe Scolari,Cafu,"Ronaldo R9 (8 gols - 2 na final) - Ronaldinho - Rivaldo - Roberto Carlos",52.25,8.5,43.75
1962,Chile,Aymore Moreira,Mauro Ramos,"Garrincha (heroi apos lesao de Pele) - Vava - Amarildo - Zito",68.0,26.5,41.5
1994,Estados Unidos,Carlos Alberto Parreira,Dunga,"Romario (Bola de Ouro) - Bebeto - Mazinho - Branco - Taffarel",31.0,12.5,18.5
